Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chasis_base_link,"0,000290417783026298","0,00089199114591777","-0,00248382841967407",0,0,0,"1,28517738631335","0,00083611859449757","2,50542972999299E-06","2,47352523120129E-06","0,00168925283943089","-5,86903656615957E-07","0,00190795853364502",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/chasis_base_link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/chasis_base_link.STL,,Base-1;Lateral_left-1;Lateral_right-1;Varilla_hueca_aluminio-1;Varilla_hueca_aluminio-4;Varilla_hueca_aluminio-2;Varilla_hueca_aluminio-7;Extremo-1;Extremo-2;Battery-1;Buck-1;Raspberry Pi 4 Model B-2;NUCLEO-F412ZG-3;PCB_Interconexion-2;Tapa_extrema-3;Tapa_extrema-4;Tapa-1;Tornillo_boton_3x12-2;Tornillo_boton_3x12-1;Tornillo_boton_3x12-4;Tornillo_boton_3x12-6;Tornillo_boton_3x12-8;Tornillo_boton_3x12-10;Tornillo_boton_3x12-12;Tornillo_boton_3x12-14;Tornillo_boton_3x12-16;Tornillo_boton_3x12-18;Tornillo_boton_3x12-20;Tornillo_boton_3x12-22;Tornillo_boton_3x12-24;Tornillo_boton_3x12-26;Tornillo_boton_3x12-28;Tornillo_boton_3x12-30;Tornillo_boton_3x12-31;Tornillo_boton_3x12-32;Tornillo_boton_3x12-33;Tornillo_boton_3x12-35;Tornillo_boton_3x12-37;Tornillo_boton_3x12-39;Tornillo_boton_3x12-41;Tornillo_boton_3x12-43;Tornillo_boton_3x12-44;Tornillo_boton_3x12-46;Tornillo_boton_3x12-48;Tornillo_boton_3x12-50;Tornillo_boton_3x12-52;Tornillo_boton_3x12-54;Tornillo_boton_3x12-56;Tornillo_boton_3x12-58;Rocker Switch_KCD1-101_2pin-1;Extremidad_FR-2/DS3235-3;Extremidad_FL-1/DS3235-3;Extremidad_BR-1/DS3235-3;Extremidad_BL-1/DS3235-3,Coord_Chasis_Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BFR_link,"0,0054185","-2,2933E-06","-0,030952",0,0,0,"0,14189","2,2913E-05","-2,9145E-09","-1,1575E-09","2,018E-05","8,907E-10","8,4922E-06",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/BFR_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/BFR_link.STL,,Extremidad_FR-2/DS3235-2;Extremidad_FR-2/Holder_servo_side_right-1;Extremidad_FR-2/Holder_ball_bearing_side_right-1;Extremidad_FR-2/Tornillo_boton_3x12-18;Extremidad_FR-2/Tornillo_boton_3x12-11;Extremidad_FR-2/Tornillo_boton_3x12-12;Extremidad_FR-2/Tornillo_boton_3x12-14;Extremidad_FR-2/Tornillo_boton_3x12-16;Extremidad_FR-2/DS3235-1;Extremidad_FR-2/Tornillo_boton_3x12-20;Extremidad_FR-2/Tornillo_boton_3x12-22;Extremidad_FR-2/Tornillo_boton_3x12-24;Extremidad_FR-2/Varilla_4mm-1;Extremidad_FR-2/Ruleman_4x10x4-1;Extremidad_FR-2/Double_horn-1,Coord_Body_FR,Eje_Body_Right,BFR_joint,continuous,"0,0950000000000001","-0,0527500000000021","0,0031999999999997","1,5707963267949",0,"-1,5707963267949",chasis_base_link,0,0,-1,,,,,,,,,,,,
FR_servo_femur_link,"-0,035696","-0,032879","0,0033975",0,0,0,"0,024784","9,0612E-06","-8,7198E-06","2,0748E-07","1,0494E-05","1,9069E-07","1,8687E-05",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_servo_femur_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_servo_femur_link.STL,,Extremidad_FR-2/Femur_Right-1;Extremidad_FR-2/Tornillo_boton_3x15-1;Extremidad_FR-2/Tornillo_fresado_4x12-2;Extremidad_FR-2/Ruleman_4x10x4-2;Extremidad_FR-2/Tornillo_fresado_4x12-1;Extremidad_FR-2/Ruleman_4x10x4-3;Extremidad_FR-2/Circular_horn-1;Extremidad_FR-2/Tornillo_parker_sin_arandela-1;Extremidad_FR-2/Tornillo_parker_sin_arandela-2;Extremidad_FR-2/Tornillo_parker_sin_arandela-4;Extremidad_FR-2/Tornillo_parker_sin_arandela-6,Coord_Servo_Femur_FR,Eje_Servo_Femur_Front,FR_servo_femur_joint,continuous,"0,0351250000000001","0,0102651899999998","-0,02005",0,"1,5707963267949",0,BFR_link,0,0,1,,,,,,,,,,,,
FR_tibia_link,"0,0405520541126842","-0,0407007292848976","-0,00052886451555538",0,0,0,"0,025039074288833","1,13634074516021E-05","1,31970172291793E-05","-2,02666470710059E-07","1,80542873440298E-05","2,00304487560453E-07","2,86227750231342E-05",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_tibia_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_tibia_link.STL,,Extremidad_FR-2/Tibia_right-1/Tibia_right_1-1;Extremidad_FR-2/Tornillo_boton_3x12-1;Extremidad_FR-2/Tornillo_boton_3x12-2;Extremidad_FR-2/Paw-1;Extremidad_FR-2/Tibia_right-1/Tibia_right_2-1;Extremidad_FR-2/Tornillo_boton_3x12-4;Extremidad_FR-2/Rotula_100mm-1/Rotula_Int-2,Coord_Femur_Tibia_FR,Eje_Femur_Tibia_Front,FR_tibia_joint,continuous,"-0,0735503585991123","-0,0677520829933811","0,00487499999999921",0,0,0,FR_servo_femur_link,0,0,-1,,,,,,,,,,,,
FR_rotula_grande_tibia_link,"0,0367751792995561","0,0338760414966904","3,33066907387547E-16",0,0,0,"0,00640000115681685","3,34702745902892E-06","-3,5244652556433E-06","-4,03251811656027E-20","3,9265019304504E-06","-3,73079770125206E-20","7,22244070550723E-06",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_grande_tibia_link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_grande_tibia_link.STL,,Extremidad_FR-2/Rotula_100mm-1/Rotula_Ext-1,Coord_Rot_Grande_Tibia_FR,Eje_Rot_Grande_Tibia_Front,FR_rotula_grande_tibia_joint,continuous,"-0,0190918830920367","0,0190918830920367","-0,00424999999999991",0,0,0,FR_tibia_link,0,0,-1,,,,,,,,,,,,
FR_rotula_grande_shoulder_link,"-0,10058","-0,038121","-0,089037",0,0,0,"2,1356","0,0085818","-0,00041734","7,1429E-07","0,029934","5,5194E-06","0,025652",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_grande_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_grande_shoulder_link.STL,,,Coord_Rot_Grande_Shoulder_FR,Eje_Rot_Grande_Shoulder_Front,FR_rotula_grande_shoulder_joint,continuous,"0,07355","0,067752",0,0,0,0,FR_rotula_grande_tibia_link,0,0,1,,,,,,,,,,,,
FR_servo_tibia_link,"0,00849117843679939","0,00877671062953272","0,00540992687440882",0,0,0,"0,00485075807463996","2,41533578534258E-07","-1,63730545099833E-07","-4,59064141261607E-09","2,24720173099584E-07","-4,71346938960582E-09","4,15966063305771E-07",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_servo_tibia_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_servo_tibia_link.STL,,Extremidad_FR-2/25T_horn-1;Extremidad_FR-2/Tornillo_boton_3x12-10;Extremidad_FR-2/Rotula_28.28mm-1/Rotula_Int-1,Coord_Servo_Tibia_FR,Eje_Servo_Tibia_Front,FR_servo_tibia_joint,continuous,"0,0237499999999999","-0,0102651900000003","-0,0400500000000001",0,"1,5707963267949",0,BFR_link,0,0,-1,,,,,,,,,,,,
FR_rotula_chica_servo_link,"-0,00986392737646444","0,0101312653065557",0,0,0,0,"0,0030699989722557","2,88497209092339E-07","2,16972305713532E-07","5,80090486410735E-22","2,76891359862068E-07","-1,0733076161098E-21","5,40970921862158E-07",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_chica_servo_link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_chica_servo_link.STL,,Extremidad_FR-2/Rotula_28.28mm-1/Rotula_Ext_corta-1,Coord_Rot_Chica_Servo_FR,Eje_Rot_Chica_Servo_Front,FR_rotula_chica_servo_joint,continuous,"0,0166984175014063","0,0172384121353651","0,0106000000000003",0,0,0,FR_servo_tibia_link,0,0,1,,,,,,,,,,,,
FR_rotula_chica_shoulder_link,"-0,136645055588079","-0,0359996039427988","-0,0876367783213924",0,0,0,"2,1356447427504","0,00858180106982782","-0,000417340448900779","7,14287658441894E-07","0,0299344558473485","5,51944049327586E-06","0,0256522236187835",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_chica_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_rotula_chica_shoulder_link.STL,,,Coord_Rot_Chica_Shoulder_FR,Eje_Rot_Chica_Shoulder_Front,FR_rotula_chica_shoulder_joint,continuous,"-0,0197278547529299","0,020262530613112",0,0,0,0,FR_rotula_chica_servo_link,0,0,1,,,,,,,,,,,,
FR_shoulder_link,"-0,00105643969596636","0,0125068904118659","-0,00604423410697004",0,0,0,"0,0065854219775301","5,78050517171653E-07","5,76756091228184E-08","1,84636616987274E-09","5,88796571118712E-07","-9,29194333326297E-09","1,08229127546329E-06",0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_shoulder_link.STL,"0,752941176470588",0,0,1,0,0,0,0,0,0,package://URDF_MOSAC_Real/meshes/FR_shoulder_link.STL,,Extremidad_FR-2/Shoulder_Right-1;Extremidad_FR-2/Tornillo_boton_3x12-6;Extremidad_FR-2/Rotula_100mm-1/Rotula_Int-1;Extremidad_FR-2/Tornillo_boton_3x12-8;Extremidad_FR-2/Rotula_28.28mm-1/Rotula_Int-2,Coord_Servo_Femur_FR,Eje_Servo_Femur_Front,FR_shoulder_joint,continuous,"0,0351250000000001","0,0102651899999998","-0,02005",0,"1,5707963267949",0,BFR_link,0,0,1,,,,,,,,,,,,
